201,ダッシュボード表示画面,店舗別サマリー,人件費率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.人件費 ÷ 店舗別サマリー.売上（税抜） × 100,-,"head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","head_office_connected_service_labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.人件費, 店舗別サマリー.売上（税抜）",当月実績.人件費率,head_office_connected_service_labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 店舗別サマリー.人件費率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗別サマリー）。"
202,ダッシュボード表示画面,当月実績,営業利益,L4a,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,当月実績.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費","主要KPI指標.ROI, 年間予実対比.営業利益, 店舗別サマリー.営業利益, 進捗分析.利益進捗率",ZTOTAL.sales_excluded / tax_excluded_total / head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 当月実績.営業利益,スキーマ検証済,-,その他経費に含まれる費目の範囲が不明,経費の費目一覧を明確化必要,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 当月実績）。"
203,ダッシュボード表示画面,当月実績,売上（税抜）,L0,A,-,POS（売上・客数）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,"ABC分析, ABC分析.売上構成比率, 主要KPI指標.営業利益率, 主要KPI指標.坪月商, 主要KPI指標.家賃比率, 年間予実対比.営業利益, 年間予実対比.客単価, 店舗別サマリー, 当月実績.FD仕入率, 当月実績.FL率, 当月実績.人件費率, 当月実績.営業利益, 支払種別売上分析.売上比率, 日次レポート, 日次推移, 時間帯別売上分析.客単価（税抜）, 月次レポート.原価率, 進捗分析.進捗率比較（前々月）, 進捗分析.進捗率比較（前月）, 進捗分析.達成率",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 当月実績.売上(税抜),スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [外部]ZTOTAL）。
204,ダッシュボード表示画面,当月実績,FD仕入率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.FD仕入 ÷ 当月実績.売上（税抜） × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 当月実績.売上（税抜）",店舗別サマリー.FD仕入率,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 当月実績.FD仕入率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 当月実績）。"
205,ダッシュボード表示画面,当月実績,人件費率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.人件費 ÷ 当月実績.売上（税抜） × 100,-,"head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","head_office_connected_service_labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.人件費, 当月実績.売上（税抜）",店舗別サマリー.人件費率,head_office_connected_service_labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 当月実績.人件費率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 当月実績）。"
206,ダッシュボード表示画面,当月実績,FL率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,(予実対比.FD仕入 + 予実対比.人件費) ÷ 当月実績.売上（税抜） × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","インフォマート（仕入）, 勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.FD仕入, 予実対比.人件費, 当月実績.売上（税抜）",-,tax_excluded_total / head_office_connected_service_labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 当月実績.FL率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 当月実績）。"
207,ダッシュボード表示画面,当月実績,営業利益予算,L3,S,画面間,予算設定（入力）,予算設定参照,月次予算設定の目標利益を参照表示,参照表示,monthly_budgets.profit,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,-,当月実績.営業利益達成率,monthly_budgets.profit → 当月実績.営業利益予算,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [入力]monthly_budgets）。
208,ダッシュボード表示画面,当月実績,営業利益達成率,L4a,S,画面間,計算項目,実績参照,営業利益の予算に対する達成率,参照表示,当月実績.営業利益 ÷ 当月実績.営業利益予算 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit","ZTOTAL.sales_excluded, monthly_budgets.profit","POS売上（日別集計）, ユーザー入力（予算設定）","当月実績.営業利益, 当月実績.営業利益予算",-,当月実績.営業利益 / monthly_budgets.profit → 当月実績.営業利益達成率,演算検証済,インプット元: 当月実績.営業利益,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 当月実績, 予算設定）。"
209,ダッシュボード表示画面,当月実績,売上予算,L3,S,画面間,予算設定（入力）,予算設定参照,月次予算設定の目標売上を参照表示,参照表示,monthly_budgets.sales,-,monthly_budgets.sales,-,ユーザー入力（予算設定）,-,当月実績.売上達成率,monthly_budgets.sales → 当月実績.売上予算,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [入力]monthly_budgets）。
210,ダッシュボード表示画面,当月実績,売上達成率,L4a,S,画面間,計算項目,実績参照,売上の予算に対する達成率,参照表示,当月実績.売上（税抜） ÷ 当月実績.売上予算 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.sales","ZTOTAL.sales_excluded, monthly_budgets.sales","POS売上（日別集計）, ユーザー入力（予算設定）","当月実績.売上（税抜）, 当月実績.売上予算",-,当月実績.売上（税抜） / monthly_budgets.sales → 当月実績.売上達成率,演算検証済,インプット元: 当月実績.売上（税抜）,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 当月実績, 予算設定）。"
