次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,データ負荷レベル,スナップショット対象,依存先指標,被参照指標,判断基準・閾値目安,データ基盤要件,V69No/戦略No
2次,本部管理者,予実対比,分析画面,,FD仕入,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMFD,"SUM(infomart_transactions.total_tax_excluded) WHERE category IN ('フード', 'ドリンク')",A,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,"主要KPI指標.営業利益率, 年間予実対比.営業利益, 店舗ラベル別サマリー.FD仕入率, 店舗ラベル別サマリー.営業利益, 店舗別サマリー.FD仕入率, 店舗別サマリー.営業利益, 当月実績.FD仕入率, 当月実績.FL率, 当月実績.営業利益",-,既存(V89/V69),59
2次,本部管理者,予実対比,分析画面,,フード仕入,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMフード,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),60
2次,本部管理者,予実対比,分析画面,,ドリンク仕入,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUMドリンク,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),61
2次,本部管理者,予実対比,分析画面,,人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM,SUM(head_office_connected_service_labor_costs_logs.labor_costs),A,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,高,◎,[外部]head_office_connected_service_labor_costs_logs.labor_costs,"主要KPI指標.営業利益率, 年間予実対比.営業利益, 店舗ラベル別サマリー.人件費率, 店舗ラベル別サマリー.営業利益, 店舗別サマリー.人件費率, 店舗別サマリー.営業利益, 店舗別人件費, 当月実績.FL率, 当月実績.人件費率, 当月実績.営業利益",-,既存(V89/V69),62
2次,本部管理者,予実対比,分析画面,,固定人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM月給者,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者',C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,高,◎,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,-,既存(V89/V69),63
2次,本部管理者,予実対比,分析画面,,PA人件費,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM時給者,SUM(head_office_employee_working_records.daily_cost) WHERE employee_type = '時給者',C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_employee_working_records.daily_cost,高,◎,[外部]head_office_employee_working_records.daily_cost,"日次推移, 日次レポート",-,既存(V89/V69),64
2次,本部管理者,予実対比,分析画面,,その他売上（サービス料等）,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1),C,POS（売上・客数）,予算と実績の対比分析,z_totals.service_charge_1,高,◎,[外部]ZTOTAL.service_charge_1,-,-,既存(V89/V69),65
2次,本部管理者,予実対比,分析画面,,その他売上ランチ,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),66
2次,本部管理者,予実対比,分析画面,,その他売上ディナー,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),67
2次,本部管理者,予実対比,分析画面,,FD仕入額,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM年間,SUM(infomart_transactions.total_tax_excluded) GROUP BY year,C,インフォマート（仕入）,予算と実績の対比分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,-,-,既存(V89/V69),88
2次,本部管理者,予実対比,分析画面,,人件費額,,,,L1,同画面内,外部連携単独,KOT/ジョブカン勤怠データから単独取得,SUM年間,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,KOT（勤怠・人件費）,予算と実績の対比分析,head_office_connected_service_labor_costs_logs.labor_costs,高,◎,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,-,既存(V89/V69),89
2次,本部管理者,予実対比,分析画面,,客単価,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数,当月実績.売上（税抜） ÷ 客数.当月客数,A,計算項目,予算と実績の対比分析,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers",最高,◎,"当月実績.売上（税抜）, 客数.当月客数",-,-,既存(V89/V69),90
2次,本部管理者,予実対比,分析画面,,客単価（ランチ）,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数(11-15時フィルタ),時間帯別売上分析.ランチ売上（税抜） ÷ 時間帯別売上分析.客数,A,計算項目,予算と実績の対比分析,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers",最高,◎,"時間帯別売上分析.ランチ売上（税抜）, 時間帯別売上分析.客数",-,-,既存(V89/V69),91
2次,本部管理者,予実対比,分析画面,,客単価（ディナー）,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷客数(17-23時フィルタ),時間帯別売上分析.ディナー売上（税抜） ÷ 時間帯別売上分析.客数,A,計算項目,予算と実績の対比分析,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers",最高,◎,"時間帯別売上分析.ディナー売上（税抜）, 時間帯別売上分析.客数",-,-,既存(V89/V69),92
2次,本部管理者,予実対比,分析画面,,総売上　計,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.sales_excluded) GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_connected_service_sales_logs.sales_excluded,高,◎,[外部]ZTOTAL.sales_excluded,-,-,既存(V89/V69),93
2次,本部管理者,予実対比,分析画面,,フード売上 計,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUMフード,SUM(ZTOTAL.sales_excluded) WHERE category = 'フード' GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),94
2次,本部管理者,予実対比,分析画面,,ドリンク売上　計,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUMドリンク,SUM(ZTOTAL.sales_excluded) WHERE category = 'ドリンク' GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),95
2次,本部管理者,予実対比,分析画面,,その他売上 計 （サービス料等）,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.service_charge_1) GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,z_totals.service_charge_1,高,◎,[外部]ZTOTAL.service_charge_1,-,-,既存(V89/V69),96
2次,本部管理者,予実対比,分析画面,,その他売上ランチ,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 11:00 AND 15:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),97
2次,本部管理者,予実対比,分析画面,,その他売上ディナー,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM(その他かつ時間フィルタ),SUM(TITEM.sales_excluded) WHERE category = 'その他' AND order_time BETWEEN 17:00 AND 23:00 GROUP BY year,C,POS（売上・客数）,予算と実績の対比分析,head_office_item_sales_logs.sales_excluded,高,◎,[外部]TITEM.sales_excluded,-,-,既存(V89/V69),98
2次,本部管理者,予実対比,分析画面,,FLコスト　計,,,,L1,同画面内,外部連携×外部連携,インフォマート仕入とKOT人件費の組合せ,SUM,SUM(tax_excluded_total) + SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,C,計算項目,予算と実績の対比分析,"infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs",高,◎,-,-,-,既存(V89/V69),99
2次,本部管理者,仕入先分析,分析画面,,仕入れ先,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,D,インフォマート（仕入）,仕入先別の分析,infomart_orders.client_name,高,◎,[外部]member_name_partner.client_name,商品別仕入分析.仕入れ先,-,既存(V89/V69),68
2次,本部管理者,仕入先分析,分析画面,,金額（税抜）,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM仕入先別,SUM(infomart_transactions.total_tax_excluded) GROUP BY client_name,C,インフォマート（仕入）,仕入先別の分析,infomart_transactions.total_tax_excluded,高,◎,[外部]infomart_transactions.total_tax_excluded,"仕入別分析.比率, 商品仕入単価, 商品別仕入分析, 費目別仕入分析",-,既存(V89/V69),69
2次,本部管理者,仕入先分析,分析画面,,比率,,,,L1,同画面内,外部連携×外部連携,インフォマート内の複数データ組合せ,仕入先÷総仕入×100,仕入別分析.金額税抜 ÷ SUM(仕入別分析.金額税抜) × 100,C,計算項目,仕入先別の分析,infomart_transactions.total_tax_excluded,高,◎,-,"商品別仕入分析.比率, 費目別仕入分析.比率",-,既存(V89/V69),70
2次,本部管理者,仕入費率分析,分析画面,,目標仕入費率,,,,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,B,予算設定（入力）,仕入費率の分析,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",低,×,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,-,既存(V89/V69),71
2次,本部管理者,利益率分析,分析画面,,目標利益率,,,,L1,同画面内,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.ratio,S,予算設定（入力）,利益率の分析,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",低,×,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,-,既存(V89/V69),72
2次,本部管理者,商品別仕入分析,分析画面,,商品,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,detail_list.item_name,D,インフォマート（仕入）,商品別の仕入分析,infomart_order_details.item_name,高,◎,[外部]detail_list.item_name,ABC分析.商品,-,既存(V89/V69),73
2次,本部管理者,商品別仕入分析,分析画面,,仕入れ先,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,D,インフォマート（仕入）,商品別の仕入分析,infomart_orders.client_name,高,◎,[外部]member_name_partner.client_name,仕入別分析.仕入れ先,-,既存(V89/V69),74
2次,本部管理者,商品別仕入分析,分析画面,,金額（税抜）,,,,L1,同画面内,外部連携単独,インフォマート仕入データから単独取得,SUM商品別,SUM(detail_list.price) GROUP BY item_name,C,インフォマート（仕入）,商品別の仕入分析,infomart_order_details.price,高,◎,[外部]detail_list.price,商品別仕入分析.比率,-,既存(V89/V69),75
2次,本部管理者,商品別仕入分析,分析画面,,比率,,,,L1,同画面内,外部連携×外部連携,インフォマート内の複数データ組合せ,商品÷総仕入×100,商品別仕入分析.金額税抜 ÷ SUM(商品別仕入分析.金額税抜) × 100,C,計算項目,商品別の仕入分析,infomart_order_details.price,高,◎,-,"仕入別分析.比率, 費目別仕入分析.比率",-,既存(V89/V69),76
2次,本部管理者,商品別売上分析,分析画面,,商品単価（税抜）,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,商品別売上分析.売上合計税抜 ÷ 商品別売上分析.販売数量,C,計算項目,商品別の売上分析,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity",高,◎,商品別売上分析.販売数量,ABC分析.価格,-,既存(V89/V69),77
2次,本部管理者,商品別売上分析,分析画面,,商品単価（税込）,,,,L1,同画面内,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,商品別売上分析.売上合計税込 ÷ 商品別売上分析.販売数量,C,計算項目,商品別の売上分析,"t_items.sales, head_office_item_sales_logs.quantity",高,◎,商品別売上分析.販売数量,-,-,既存(V89/V69),78
2次,本部管理者,商品別売上分析,分析画面,,販売数量,,,,L1,同画面内,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.quantity) GROUP BY item_name,C,POS（売上・客数）,商品別の売上分析,head_office_item_sales_logs.quantity,高,◎,[外部]TITEM.quantity,"ABC分析.販売点数, 商品別売上分析.商品単価（税抜）",-,既存(V89/V69),79
