60,設定入力画面,店舗管理,総席数,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.total_seat_num,-,shops.total_seat_num,-,ユーザー入力（店舗設定）,-,流入分析.総席数,shops.total_seat_num → 店舗管理.総席数,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
61,設定入力画面,店舗管理,坪数,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.total_area_num,-,shops.total_area_num,-,ユーザー入力（店舗設定）,-,主要KPI指標.坪月商,shops.total_area_num → 店舗管理.坪数,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
62,設定入力画面,店舗管理,初期投資額,L2,B,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.initial_investment,-,shops.initial_investment,-,ユーザー入力（店舗設定）,-,主要KPI指標.ROI,shops.initial_investment → 店舗管理.初期投資額,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する店舗設定値
63,設定入力画面,月次予算設定,目標月次利益,L3,A,-,予算設定（入力）,ユーザー入力単独,Step1: 目標月次利益を金額で入力,入力値（金額）,monthly_budgets.profit,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,-,-,monthly_budgets.profit → 月次予算設定.目標月次利益,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値
64,設定入力画面,月次予算設定,FD仕入比率,L3,B,-,予算設定（入力）,ユーザー入力単独,Step2: FD仕入費率を％で入力,入力値（％）,monthly_budgets.food_cost_rate,-,monthly_budgets.food_cost_rate,-,ユーザー入力（予算設定）,-,-,monthly_budgets.food_cost_rate → 月次予算設定.FD仕入比率,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値
65,設定入力画面,月次予算設定,PA人件費率,L3,B,-,予算設定（入力）,ユーザー入力単独,Step2: PA人件費率を％で入力,入力値（％）,monthly_budgets.labor_cost_rate,-,monthly_budgets.labor_cost_rate,-,ユーザー入力（予算設定）,-,-,monthly_budgets.labor_cost_rate → 月次予算設定.PA人件費率,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値
66,設定入力画面,月次予算設定,目標客単価（税抜）,L3,B,-,予算設定（入力）,ユーザー入力単独,Step3: 目標客単価を金額で入力,入力値（金額）,monthly_budgets.sales_per_customer,-,monthly_budgets.sales_per_customer,-,ユーザー入力（予算設定）,-,-,monthly_budgets.sales_per_customer → 月次予算設定.目標客単価（税抜）,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値
67,設定入力画面,月次予算設定,目標客数,L3,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,売上（税抜） ÷ 目標客単価,売上（税抜） / sales_per_customer,-,monthly_budgets.target_customers,-,ユーザー入力（予算設定）,-,-,monthly_budgets.target_customers → 月次予算設定.目標客数,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値
68,設定入力画面,月次予算設定,変動費率,L1,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出（FD仕入比率+PA人件費率+変動費用予算率）,FD仕入比率 + PA人件費率 + 変動費用予算率,monthly_budgets.food_cost_rate + monthly_budgets.labor_cost_rate + 変動費用予算率,画面内計算値,-,-,画面内演算,"月次予算設定.FD仕入比率, 月次予算設定.PA人件費率, 月次予算設定.変動費用予算",-,画面内計算 → 月次予算設定.変動費率,演算検証済,MQ会計シミュレーション自動計算,-,-,設定入力画面,設定入力,予算設定における変動費率（自動算出）
69,設定入力画面,月次予算設定,変動費単価,L1,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,目標客単価 × 変動費率,sales_per_customer × 変動費率,-,-,-,画面内演算,"画面内計算, 画面内計算",-,変動費 ÷ 客数 → 月次予算設定.変動費単価,演算検証済,-,-,-,設定入力画面,設定入力,予算設定における変動費単価
70,設定入力画面,月次予算設定,粗利単価,L1,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,目標客単価 - 変動費単価,sales_per_customer - 変動費単価,-,-,-,画面内演算,"画面内計算, 画面内計算",-,粗利 ÷ 客数 → 月次予算設定.粗利単価,演算検証済,-,-,-,設定入力画面,設定入力,予算設定における粗利単価
71,設定入力画面,月次予算設定,売上（税抜）,L0,A,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,月次予算設定.目標客単価 × 月次予算設定.目標客数,SUM(ZTOTAL.sales_excluded),-,head_office_connected_service_sales_logs.sales_excluded,-,-,-,"月次予算設定.目標客数, -",ZTOTAL.sales_excluded → 月次予算設定.売上（税抜）,スキーマ検証済,-,-,-,設定入力画面,設定入力,予算設定における売上
72,設定入力画面,月次予算設定,変動費,L4b,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出,売上（税抜） × 変動費率,売上（税抜） × 変動費率,画面内計算値,-,-,画面内演算,"月次予算設定.売上（税抜）, 画面内計算",-,売上 - 粗利 → 月次予算設定.変動費,演算検証済,-,-,-,設定入力画面,設定入力,予算設定における変動費
73,設定入力画面,月次予算設定,粗利率,L1,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出（100% - 変動費率）,100 - 変動費率,100 - (food_cost_rate + labor_cost_rate + 変動費用予算率),画面内計算値,-,-,画面内演算,月次予算設定.変動費率,-,画面内計算 → 月次予算設定.粗利率,演算検証済,MQ会計シミュレーション自動計算,-,-,設定入力画面,設定入力,予算設定における粗利率（自動算出）
73b,設定入力画面,月次予算設定,粗利,L4b,B,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出（売上 - 変動費）,売上（税抜） - 変動費,月次予算設定.売上（税抜） - 月次予算設定.変動費,画面内計算値,-,-,画面内演算,"月次予算設定.売上（税抜）, 月次予算設定.変動費",-,売上 - 変動費 → 月次予算設定.粗利,演算検証済,MQ会計シミュレーション自動計算,-,-,設定入力画面,設定入力,予算設定における粗利（自動算出）
73c,設定入力画面,月次予算設定,変動費用予算,L3,B,画面間,費用設定（参照）,設定値集計,費用設定の変動費用予算合計を参照表示（自動計上）,SUM(設定タイプ=変動費用予算),費用設定.変動費用予算,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,月次予算設定.変動費率,月次費用入力.金額 → 月次予算設定.変動費用予算,設定/入力検証済,費用設定からの設定値集計,-,-,設定入力画面,設定入力,予算設定における変動費用予算（設定値集計・自動計上）
74,設定入力画面,月次予算設定,固定費用予算,L3,B,画面間,費用設定（参照）,設定値集計,Step0: 費用設定の固定費用予算合計を参照表示（自動計上）,SUM(設定タイプ=固定費用予算),費用設定.固定費用予算,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,月次予算設定.営業利益,月次費用入力.金額 → 月次予算設定.固定費用予算,設定/入力検証済,費用設定からの設定値集計,-,-,設定入力画面,設定入力,予算設定における固定費用予算（設定値集計・自動計上）
75,設定入力画面,月次予算設定,営業利益,L1,A,画面内,計算項目,画面内演算,MQ会計シミュレーションで自動算出（粗利 - 固定費用予算）,粗利 - 固定費用予算,月次予算設定.粗利 - 月次予算設定.固定費用予算,画面内計算値,-,-,画面内演算,"月次予算設定.粗利, 月次予算設定.固定費用予算",-,粗利 - 固定費 → 月次予算設定.営業利益,演算検証済,MQ会計シミュレーション自動計算,-,-,設定入力画面,設定入力,予算設定における営業利益（自動算出）
76,設定入力画面,発注先商品管理,商品名,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.name,-,infomart_items.name,-,ユーザー入力（商品設定）,-,-,infomart_items.name → 発注先商品管理.商品名,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値
77,設定入力画面,発注先商品管理,商品コード,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.code,-,infomart_items.code,-,ユーザー入力（商品設定）,-,-,infomart_items.code → 発注先商品管理.商品コード,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値
78,設定入力画面,発注先商品管理,ステータス,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.status,-,infomart_items.status,-,ユーザー入力（商品設定）,-,-,infomart_items.status → 発注先商品管理.ステータス,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値
79,設定入力画面,発注先商品管理,単位,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.unit,-,infomart_items.unit,-,ユーザー入力（商品設定）,-,-,infomart_items.unit → 発注先商品管理.単位,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値
80,設定入力画面,発注先商品管理,税区分,L2,D,-,商品マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_items.tax_type,-,infomart_items.tax_type,-,ユーザー入力（商品設定）,-,-,infomart_items.tax_type → 発注先商品管理.税区分,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する商品設定値
81,設定入力画面,発注先情報編集,発注先,L2,D,-,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.name,-,infomart_clients.name,-,ユーザー入力（発注先設定）,-,-,infomart_clients.name → 発注先情報編集.発注先,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する発注先設定値
82,設定入力画面,発注先情報編集,表示名,L2,D,-,発注先マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,infomart_clients.display_name,-,infomart_clients.display_name,-,ユーザー入力（発注先設定）,-,-,infomart_clients.display_name → 発注先情報編集.表示名,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する発注先設定値
83,設定入力画面,発注先情報編集,店舗コード,L2,D,-,店舗マスタ（設定）,ユーザー入力単独,ユーザーが設定入力,入力値,shops.code,-,shops.code,-,マスタ参照,-,-,shops.code → 発注先情報編集.店舗コード,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,設定入力画面,設定入力,ユーザーが入力する発注先設定値
